//ID	Name	RGB color	Background sound effect ID	Background color RGB value: ", "number seperation	Background lighting RGB value: ", "number seperation	Background lighting angle: "x, y, z"	Is it city
1	Argent City	41,107,214	2	114,148,155	255,255,255	-1.0,-1.0,-1.0	1
2	Outskirt of Argent City	235,44,169	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
3	Belmont Plains	3,33,187	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
4	Shepherd Plains	239,95,95	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
5	Andes Forest	76,252,16	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
6	Belda Meadow	236,190,212	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
7	Chaldea Tundra	237,81,6	12	86,129,130	255,255,255	-1.0,-1.0,-1.0	0
8	Thundoria Castle	69,77,153	3	120,120,110	255,255,255	-1.0,-1.0,-1.0	1
9	Outskirt of Thundoria	37,142,81	12	150,150,151	255,255,255	-1.0,-1.0,-1.0	0
10	Thundoria Harbor	101,83,5	3	120,120,152	255,255,255	-1.0,-1.0,-1.0	0
11	Sacred Forest	92,51,236	11	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
12	Sacred Snow Mountain	63,84,22	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
13	Shaitan City	167,34,205	4	145,150,102	255,255,255	-1.0,-1.0,-1.0	1
14	Old Shaitan City	204,143,96	4	145,150,103	255,255,255	-1.0,-1.0,-1.0	0
15	Southern Desert	212,243,78	12	145,150,104	255,255,255	-1.0,-1.0,-1.0	0
16	Prairie Desert	74,96,61	12	145,150,105	255,255,255	-1.0,-1.0,-1.0	0
17	Isle of Morpheus	203,238,47	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
18	Abaddon Capital	104,22,117	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
19	Upper Icicle Castle	147,109,53	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	1
20	Lower Icicle Castle	51,244,13	6	110,171,199	255,255,255	-1.0,-1.0,-1.0	1
21	Atlantis Snow Field	76,230,5	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
22	Icespire	57,33,16	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
23	Galley Isle	115,17,139	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
24	Spring Town	208,161,90	13	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
25	Spring Island	80,99,145	13	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
26	Mysterious Cavern	50,216,246	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
27	Summer Island	168,233,249	14	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
28	Ancient Rainforest	128,114,64	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
29	Autumn Island	141,110,121	7	170,106,74	250,242,210	-1.0,-1.0,-1.0	0
30	Dela Woodlands	236,161,43	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
31	Isle of Chill	114,54,146	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
32	Zephyr Isle	103,182,118	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
33	Timber Isle	53,42,234	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
34	Arena Isle 	221,243,5	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
35	Outlaw Isle	49,78,9	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
36	Glacier Isle	240,207,11	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
37	Cupid Isle	53,201,176	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
38	Canary Isle	185,149,202	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
39	Abandon Mine 1	150,219,2	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
40	Abandon Mine 2	18,252,192	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
41	Silver Mine 1	16,30,236	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
42	Silver Mine 2	21,170,32	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
43	Silver Mine 3	195,19,206	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
44	Lone Tower 1	67,65,130	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
45	Lone Tower 2	111,49,196	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
46	Lone Tower 3	115,252,101	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
47	Lone Tower 4	157,117,157	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
48	Lone Tower 5	47,213,183	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
49	Lone Tower 6	155,239,79	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
50	Santuary Maze	68,251,228	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
51	Isle of Ruin	47,211,221	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
52	Barren Cavern	25,93,98	9	198,152,68	253,247,229	-1.0,-1.0,-1.0	0
53	Andes Forest Haven	135,206,147	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
54	Chaldea Haven	125,70,239	12	86,129,130	255,255,255	-1.0,-1.0,-1.0	0
55	Abandon Mine Haven	84,137,128	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
56	Icicle Haven	108,55,216	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
57	Oasis Haven	32,125,91	12	145,150,104	255,255,255	-1.0,-1.0,-1.0	0
58	Rockery Haven	236,194,55	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
59	Atlantis Haven	6,51,63	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
60	Skeleton Haven	249,33,4	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
61	Valhalla Haven	121,144,53	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
62	Babul Haven	214,153,143	12	145,150,104	255,255,255	-1.0,-1.0,-1.0	0
63	Solace Haven	15,218,22	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
64	Icespire Haven	212,158,103	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
65	Chaotic Oasis	168,43,212	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
66	Divine Oasis	126,30,242	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
67	Sand Bandit Camp	118,79,29	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
68	Bandit Camp	221,65,111	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
69	Demon Lair	200,149,199	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
70	Isle of Fortune	191,103,213	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
71	Sara Haven	104,43,234	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
72	Albania Haven	224,199,62	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
73	Hafta Haven	135,85,33	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
74	Reagen Haven	63,178,57	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
75	Norite Harbor Haven	244,68,53	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
76	Aerase Haven	210,198,243	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
77	Lahu Haven	180,161,8	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
78	Pyrex Haven	236,209,143	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
79	Woody Haven	214,127,72	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
80	Gelada Haven	162,178,52	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
81	Hubble Haven	173,209,85	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
82	Ethio Haven	77,53,71	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
83	Salva Haven	180,193,31	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
84	Karmas Haven	36,137,84	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
85	Muse Haven	47,165,183	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
86	Garden of Edel	206,97,41	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
87	Dark Swamp 1	5,128,34	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
88	Forsaken City 1	252,129,141	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
89	Dark Swamp 2	206,123,122	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
90	Dark Swamp 3	36,76,89	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
91	Forsaken City 2	242,171,97	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
92	Forsaken City 3	164,230,2	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
93	Demonic World 1	50,215,93	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
94	Demonic World 2	94,11,153	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
95	Arena	141,99,210	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
96	Seabed Tunnel	103,157,130	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
97	Black Dragon Lair 1	212,85,58	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
98	Black Dragon Lair 2	61,57,42	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
99	Black Dragon Lair 3	142,77,89	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
100	Underwater Tunnel	114,221,104	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
101	Skeletar Isle	86,219,73	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
102	Naval Base	132,5,100	3	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
103	Treasure Gulf	119,229,46	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
104	Underground Dock	77,55,210	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
105	Research Shelter	43,183,74	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
106	Armory	183,214,241	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
107	Abaddon 1	112,34,109	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
108	Abaddon 2	97,231,199	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
109	Abaddon 3	193,245,237	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
110	Abaddon 4	16,236,40	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
111	Heaven	8,217,215	2	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
112	Unknown Island 61	234,9,226	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
113	Unknown Island 62	206,16,176	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
114	Unknown Island 63	23,233,130	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
115	Unknown Island 64	75,163,147	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
116	Unknown Island 65	98,47,35	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
117	Unknown Island 66	233,216,16	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
118	Unknown Island 67	178,186,187	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
119	Unknown Island 68	226,64,246	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
120	Unknown Island 69	77,244,121	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
121	Unknown Island 70	180,50,208	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
122	Unknown Island 71	11,59,239	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
123	Unknown Island 72	27,174,168	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
124	Unknown Island 73	134,144,185	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
125	Unknown Island 74	155,249,181	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
126	Unknown Island 75	153,139,227	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
127	Unknown Island 76	128,248,172	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
128	Unknown Island 77	215,108,251	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
129	Unknown Island 78	2,55,212	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
130	Unknown Island 79	79,134,69	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
131	Unknown Island 80	9,119,147	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
132	Unknown Island 81	14,103,20	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
133	Unknown Island 82	92,247,123	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
134	Unknown Island 83	17,178,140	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
135	Unknown Island 84	233,118,107	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
136	Unknown Island 85	215,42,65	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
137	Unknown Island 86	143,232,212	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
138	Unknown Island 87	19,182,75	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
139	Unknown Island 88	13,139,58	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
140	Unknown Island 89	137,56,156	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
141	Unknown Island 90	148,147,165	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
142	Unknown Island 91	53,30,26	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
143	Unknown Island 92	77,142,137	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
144	Unknown Island 93	176,59,250	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
145	Unknown Island 94	62,200,228	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
146	Unknown Island 95	119,245,100	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
147	Unknown Island 96	235,233,76	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
148	Unknown Island 97	5,26,77	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
149	Unknown Island 98	145,55,140	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
150	Unknown Island 99	179,145,204	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
151	Unknown Island 100	224,85,56	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
152	Unknown Island 101	19,218,37	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
153	Unknown Island 102	31,26,88	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
154	Unknown Island 103	153,136,239	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
155	Unknown Island 104	253,159,209	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
156	Unknown Island 105	202,250,237	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
157	Unknown Island 106	205,141,85	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
158	Unknown Island 107	167,40,170	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
159	Unknown Island 108	141,137,58	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
160	Unknown Island 109	63,24,9	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
161	Unknown Island 110	232,1,240	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
162	Unknown Island 111	172,252,194	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
163	Unknown Island 112	75,127,19	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
164	Unknown Island 113	53,178,215	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
165	Unknown Island 114	17,172,123	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
166	Unknown Island 115	116,167,1	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
167	Unknown Island 116	250,140,244	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
168	Unknown Island 117	100,82,211	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
169	Unknown Island 118	185,181,196	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
170	Unknown Island 119	171,36,47	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
171	Unknown Island 120	243,100,210	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
172	Unknown Island 121	134,98,88	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
173	Unknown Island 122	95,196,47	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
174	Unknown Island 123	59,45,118	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
175	Unknown Island 124	88,238,205	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
176	Unknown Island 125	2,2,180	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
177	Unknown Island 126	48,64,8	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
178	Unknown Island 127	10,232,29	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
179	Unknown Island 128	102,8,203	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
