//ID	Lv	Required Lifeskill EXP
1	1	0
2	2	1500
3	3	5000
4	4	10500
5	5	18000
6	6	27500
7	7	39000
8	8	52500
9	9	68000
10	10	85500
11	11	105000
12	12	126500
13	13	150000
14	14	175500
15	15	203000
16	16	232500
17	17	264000
18	18	297500
19	19	333000
20	20	370500
21	21	410000
22	22	451500
23	23	495000
24	24	540500
25	25	588000
26	26	637500
27	27	689000
28	28	742500
29	29	798000
30	30	855500
31	31	915000
32	32	976500
33	33	1040000
34	34	1105500
35	35	1173000
36	36	1242500
37	37	1314000
38	38	1387500
39	39	1463000
40	40	1540500
41	41	1620000
42	42	1701500
43	43	1785000
44	44	1870500
45	45	1958000
46	46	2047500
47	47	2139000
48	48	2232500
49	49	2328000
50	50	2425500
51	51	2525000
52	52	2626500
53	53	2730000
54	54	2835500
55	55	2943000
56	56	3052500
57	57	3164000
58	58	3277500
59	59	3393000
60	60	3510500
61	61	3630000
62	62	3751500
63	63	3875000
64	64	4000500
65	65	4128000
66	66	4257500
67	67	4389000
68	68	4522500
69	69	4658000
70	70	4795500
71	71	4935000
72	72	5076500
73	73	5220000
74	74	5365500
75	75	5513000
76	76	5662500
77	77	5814000
78	78	5967500
79	79	6123000
80	80	6280500
81	81	6440000
82	82	6601500
83	83	6765000
84	84	6930500
85	85	7098000
86	86	7267500
87	87	7439000
88	88	7612500
89	89	7788000
90	90	7965500
91	91	8145000
92	92	8326500
93	93	8510000
94	94	8695500
95	95	8883000
96	96	9072500
97	97	9264000
98	98	9457500
99	99	9653000
100	100	9850500
