//ID	Name	Activation interval	Transfer Persists Duration	Use Effect Script	Remove Effect Script	Replacement principle	Can it be manually cancelled	Can it move	Confirm to use skill	Can normal attack be used	Can it be traded	Confirm to use Item	Can it be attacked	Can item be used by others	Can skill be used by others	Are you seen by anybody	Is it forced to show shape	Can inventory be used	can talk to NPC	Remove Effect ID	Screen Effect	Client Performance	Client Display Identification	Ground Status Effect	Center Display	Knock out display	Special effect of recipe	dummy1	Under this status attacked effect display	dummy2	ICON	Description	Desciption	Display format	Remark
1	Burn	1	State_Rs_Tran	State_Rs_Add	State_Rs_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	112	0	0	115	2	0	0	0	0	0	0	0
2	Healing Spring	3	State_Hfwq_Tran	State_Hfwq_Add	State_Hfwq_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	268	1	0	166	-1	0	0	0	0	0	0	0
3	Cursed Fire	-1	State_Zzzh_Tran	State_Zzzh_Add	State_Zzzh_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	158	-1	0	0	0	0	0	0	0
4	Poisoned	1	State_Zd_Tran	State_Zd_Add	State_Zd_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	250	-1	0	0	0	0	0	0	0
5	Counterguard	-1	State_Sdbz_Tran	State_Sdbz_Add	State_Sdbz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	173	0	0	174	-1	0	0	0	0	0	0	0
6	True Sight	-1	State_Syzy_Tran	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	-1	176	1	0	0	-1	0	0	0	0	0	0	0
7	Abyss Mire	-1	State_Synz_Tran	State_Synz_Add	State_Synz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	240	-1	0	0	0	0	0	0	0
9	Thunderstorm	2	State_Larea_Tran	State_Larea_Add	State_Larea_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	7	292	0	0	0	0	0	0	0	0	0	0	0
10	Fog	2	State_Warea_Tran	State_Warea_Add	State_Warea_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	8	293	0	0	0	0	0	0	0	0	0	0	0
11	Tornado	2	State_Farea_Tran	State_Farea_Add	State_Farea_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	291	0	0	0	0	0	0	0	0	0	0	0
12	Whirlpool	-1	State_Xw_Tran	State_Xw_Add	State_Xw_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	280	1	0	0	0	0	0	0	0	0	0	0
13	Fog	-1	State_Mw_Tran	State_Mw_Add	State_Mw_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	283	1	0	0	0	0	0	0	0	0	0	0
14	Lightning Curtain	2	State_Lm_Tran	State_Lm_Add	State_Lm_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	290	1	0	0	0	0	0	0	0	0	0	0
15	Taunt	-1	0	State_Chf_Add	State_Chf_Rem	4	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
16	Water Mine Self Destruct	1	0	State_Slzb_Add	State_Slzb_Rem	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	302	-1	0	0	0	0	0	0	0
17	Bull Potion	-1	0	State_PKMNYS_Add	State_PKMNYS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
18	Hairstyling	-1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
19	Battle Potion	-1	0	State_PKZDYS_Add	State_PKZDYS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
20	Berserk Potion	-1	0	State_PKKBYS_Add	State_PKKBYS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
21	Shield Mastery	-1	0	State_Dpsl_Add	State_Dpsl_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
22	Tiger Roar	-1	0	State_Hx_Add	State_Hx_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	295	-1	0	0	0	0	0	0	0
23	Greatsword Mastery	-1	0	State_Jjsl_Add	State_Jjsl_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
24	Berserk	-1	0	State_Kb_Add	State_Kb_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	118	-1	0	0	0	0	0	0	0
26	Skill Forbidden	-1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	178	-1	0	0	0	0	0	0	0
27	Fatal Strike	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	178	-1	0	0	0	0	0	0	0
28	Ranger	-1	0	State_Clxz_Add	State_Clxz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
29	Tempest Boost	-1	0	State_Fzlz_Add	State_Fzlz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	207	-1	0	0	0	0	0	0	0
30	Archery Mastery	-1	0	State_Gjsl_Add	State_Gjsl_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
31	Evasion	-1	0	State_Hys_Add	State_Hys_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
33	Tornado Swirl	-1	0	State_Jsfb_Add	State_Jsfb_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	208	-1	0	0	0	0	0	0	0
34	Tempest Slash	-1	0	State_Jfz_Add	State_Jfz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
35	Gun Research	-1	0	State_Qxyj_Add	State_Qxyj_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
36	Beast Strength	-1	0	State_Shtz_Add	State_Shtz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
37	Angelic Shield	-1	0	State_Tshd_Add	State_Tshd_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	161	-1	0	0	0	0	0	0	0
38	Angel Blessing	-1	0	State_Tsqy_Add	State_Tsqy_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	166	-1	0	0	0	0	0	0	0
39	Cripple	-1	0	State_Tj_Add	State_Tj_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	143	-1	0	0	0	0	0	0	0
40	Spiritual Fire	-1	0	State_Xlzh_Add	State_Xlzh_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	206	-1	0	0	0	0	0	0	0
41	Energy Potion	-1	0	State_PKJSYS_Add	State_PKJSYS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
42	Harden Potion	-1	0	State_PKSFYS_Add	State_PKSFYS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
43	Conceal	5	0	State_Ys_Add	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
44	Accurate Potion	-1	0	State_PKJZYS_Add	State_PKJZYS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
45	Blackout	-1	0	State_Xy_Add	State_Xy_Rem	2	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	-1	0	0	1	253	1	0	0	0	0	0	0	0
46	Numb	-1	0	State_Mb_Add	State_Mb_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	271	2	0	0	0	0	0	0	0
47	Invincible Potion	-1	0	State_PKWd_Add	State_PKWd_Rem	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
48	Double experience rate	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
49	Double Drop Rate	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
50	Intense Magic	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	343	-1	0	0	0	0	0	0	0
51	Frost Shield	-1	0	State_Bshd_Add	State_Bshd_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	135	-1	0	0	0	0	0	0	0
53	Firegun Mastery	-1	0	State_Hqsl_Add	State_Hqsl_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
54	Refined Gunpowder	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
55	Attack Weakness	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	178	-1	0	0	0	0	0	0	0
56	Divine Grace	-1	0	State_Sy_Add	State_Sy_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
57	Angel Blessing	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	178	-1	0	0	0	0	0	0	0
