//序号	动作名称	\"空手(单手,拳套,Gold Pouch )\"	\"Sword, Blade, Staff, Axe, Shield\"	Two-handed Sword Weapon	Dual Single-handed Sword Weapon	单手持枪械武器	Two-handed Bow Weapon	Dagger
1	普通waiting	1	55	109	163	217	271	325
2	Cool Pose	2	56	110	164	218	272	326
3	Funny Pose	3	57	111	165	219	273	327
4	戒备waiting	4	58	112	166	220	274	328
5	普通奔跑	5	59	113	167	221	275	329
6	戒备奔跑	6	60	114	168	222	276	330
7	普通攻击1	7	61	115	169	223	277	331
8	普通攻击2	8	62	116	170	224	278	332
9	普通攻击3	9	63	117	171	225	279	333
10	Mighty Strike	10	64	118	172	226	280	334
11	Skill 1	11	65	119	173	227	281	335
12	Skill２	12	66	120	174	228	282	336
13	Skill 3	13	67	121	175	229	283	337
14	Skill 4	14	68	122	176	230	284	338
15	Skill 5	15	69	123	177	231	285	339
16	普通坐下	16	70	124	178	232	286	340
17	Death (All)	17	71	125	179	233	287	341
18	Wave (All)	18	72	126	180	234	288	342
19	大哭(通用)	19	73	127	181	235	289	343
20	雀跃(通用)	20	74	128	182	236	290	344
21	生气(通用)	21	75	129	183	237	291	345
22	挑衅(通用)	22	76	130	184	238	292	346
23	自恋(男通用)	23	77	131	185	239	293	347
24	Emoticon 7	24	78	132	186	240	294	348
25	表情动作8	25	79	133	187	241	295	349
26	表情动作9	26	80	134	188	242	296	350
27	表情动作10	27	81	135	189	243	297	351
28	Mining (场景互动)	28	82	136	190	244	298	352
29	采集(场景互动)	29	83	137	191	245	299	353
30	坐凳子(场景互动)	30	84	138	192	246	300	354
31	靠墙(场景互动)	31	85	139	193	247	301	355
32	靠树(场景互动)	32	86	140	194	248	302	356
33	角色互动(场景互动)	33	87	141	195	249	303	357
34	场景互动动作7	34	88	142	196	250	304	358
35	场景互动动作8	35	89	143	197	251	305	359
36	场景互动动作9	36	90	144	198	252	306	360
37	Scene Action 10	37	91	145	199	253	307	361
38	坐下待机	38	92	146	200	254	308	362
39	死亡待机	39	93	147	201	255	309	363
40	技能动作6	40	94	148	202	256	310	364
41	Skill Effect 7	41	95	149	203	257	311	365
42	Skill Effect 8	42	96	150	204	258	312	366
43	技能动作9	43	97	151	205	259	313	367
44	技能动作10	44	98	152	206	260	314	368
45	技能动作11	45	99	153	207	261	315	369
46	技能动作12	46	100	154	208	262	316	370
47	技能动作13	47	101	155	209	263	317	371
48	技能动作14	48	102	156	210	264	318	372
49	技能动作15	49	103	157	211	265	319	373
50	技能动作16	50	104	158	212	266	320	374
51	技能动作17	51	105	159	213	267	321	375
52	技能动作18	52	106	160	214	268	322	376
53	技能动作19	53	107	161	215	269	323	377
54	Skill movement 20	54	108	162	216	270	324	378
