//±àºÅ	Corresponding Prefix
0	0
1	Mammoth
2	Precise
3	Colossus
4	Tempest
5	Sage
6	0
7	0
8	0
9	0
10	0
11	Black Dragon
12	Red Dragon
13	Blue Dragon
14	Silver Dragon
15	Draconic
16	Emerald Dragon
17	Amber Dragon
18	Gold Dragon
19	Sacred Dragon
20	Demonic Dragon
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	Cardic
51	Cardic
52	Cardic
53	Cardic
54	Cardic
55	Cardic
56	Cardic
57	Cardic
58	Cardic
59	Cardic
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	Xoebe
91	Xoebe
92	Xoebe
93	Xoebe
94	Xoebe
95	0
96	0
97	0
98	0
99	0
