//精炼效果编号	特效名称	流光编号	特效 1(Lance)	特效 1(Carsise)	特效 1(Phyllis)	特效 1(Ami)	dummy1	特效 2(Lance)	特效 2(Carsise)	特效 2(Phyllis)	特效 2(Ami)	dummy2	特效 2(Lance)	特效 2(Carsise)	特效 2(Phyllis)	特效 2(Ami)	dummy3	特效 2(Lance)	特效 2(Carsise)	特效 2(Phyllis)	特效 2(Ami)	dummy4
1	法杖增益	3	0	0	300	300	4	0	0	301	301	4	0	0	302	302	0	0	0	0	0	0
2	巨攻击	1	303	303	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	单手剑攻击	1	304	304	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	匕首攻击	1	305	0	305	305	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	枪攻击	1	306	0	306	0	3	307	0	307	0	1	0	0	0	0	0	0	0	0	0	0
6	法杖防御	2	0	0	308	308	4	0	0	309	309	4	0	0	310	310	0	0	0	0	0	0
7	法杖攻击	1	0	0	311	311	4	0	0	312	312	4	0	0	313	313	0	0	0	0	0	0
8	巨防御	2	317	317	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	单手剑防御	2	318	318	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	Dagger Defense	2	319	0	319	319	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	Hugh Bonus	3	314	314	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	单手剑增益	3	315	315	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	匕首增益	3	316	0	316	316	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	Gun Defense	2	320	0	320	0	3	321	0	321	0	1	0	0	0	0	0	0	0	0	0	0
15	枪增益	3	322	0	322	0	3	323	0	323	0	1	0	0	0	0	0	0	0	0	0	0
16	Staff Bonus Defense	2	0	0	300	300	4	0	0	301	301	4	0	0	310	310	0	0	0	0	0	0
17	法杖增益加攻击	3	0	0	311	311	4	0	0	309	309	4	0	0	302	302	0	0	0	0	0	0
18	Staff Attack Added Defense	1	0	0	308	308	4	0	0	312	312	4	0	0	313	313	0	0	0	0	0	0
19	法杖攻防增	1	0	0	325	325	4	0	0	301	301	4	0	0	324	324	0	0	0	0	0	0
20	巨增益加防御	3	326	326	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	巨增益加攻击	1	329	329	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	巨攻击加防御	2	332	332	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	巨攻防增	1	335	335	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	Sword Bonus Defense	3	327	327	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	剑增益加攻击	1	330	330	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	Sword Attack Added Defense	2	333	333	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	剑攻防增	1	336	336	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	匕首增益加防御	3	328	0	328	328	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	匕首增益加攻击	1	331	0	331	331	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	匕首攻击加防御	2	334	0	334	334	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	匕首攻防增	1	337	0	337	337	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	枪防御加增益	2	320	0	320	0	3	323	0	323	0	1	0	0	0	0	0	0	0	0	0	0
