0876 //ID	Item Name	ICON	Item Model	Lance Texture	Carsise Texture	Phyllis Texture	Ami Texture	Ship Symbol	ship siz number	Type	obtain prefix rate	set ID	Forging Level	Stable value	only ID	Tradeable Or Not	picked	Discard	Confirm to delete	stackable	is it instantiation	SELLING PRICE	Size	Character Level	Class	Character Nick	Character Reputation	item can equip location	item switch location	item obtain into location determine	Str modulus bonus	Agi modulus bonus	Dex modulus bonus	Con modulus bonus	Spr modulus bonus	Luk modulus bonus	ASPD Bonus	????????	?????????	?????????	Percent Def Bonus	Percent HP Bonus	Percent SP  Bonus	flee modulus bonus	Hit modulus bonus	crt modulus bonus	mf modulus bonus	hrec modulus bonus	srec modulus bonus	mspd modulus bonus	col modulus bonus	Strconstant bonus	Agiconstant bonus	Dexconstant bonus	Conconstant bonus	Staconstant bonus	Lukconstant bonus	????????	????????	?????????	?????????	??????	Max HP constant bonus	Mxspconstant bonus	fleeconstant bonus	hitconstant bonus	crtconstant bonus	mfconstant bonus	hrecconstant bonus	srecconstant bonus	mspdconstant bonus	colconstant bonus	Physical Resist	item left hand exert identifier	Item Energy	Durability	Max instantiation hole value	Ship durability recovered	can contain cannon quantity	ship member count	member label	Cargo Capacity	Fuel consumption	Cannonball Path of Flight speed	ship movement speed	usage effect	display effect	item bind effect	item bind effect dummy	Display item effect (item put at object slot 1 to show effect)	item drop model effect	item usage effect	Description (Item level)	Remark
1	Short Sword	w0001	10100001	01010001	02010001	0	0	0	0	1	0	0	0	7	1	1	1	1	1	1	1	1015	2,1,-2,-2	10	1,8,9,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2	0	0	9,6,-2,-2,-2,-2,-2,-2,-2,-2	-1,-2,-2,-2,-2,-2,-2,-2,-2,-2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	30,58	38,70	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	Sword that is slightly shorter	0
2	Long Sword	w0002	10100001	01010002	02010002	0	0	0	0	1	0	0	0	7	1	1	1	1	1	1	1	4897	2,1,-2,-2	20	1,8,9,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2	0	0	9,6,-2,-2,-2,-2,-2,-2,-2,-2	-1,-2,-2,-2,-2,-2,-2,-2,-2,-2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	56,80	70,98	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	Sword that is slightly longer	0
3	Fencing Sword	w0003	10100001	01010003	02010003	0	0	0	0	1	0	0	0	6	1	1	1	1	1	1	1	12948	2,1,-2,-2	30	1,8,9,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2	0	0	9,6,-2,-2,-2,-2,-2,-2,-2,-2	-1,-2,-2,-2,-2,-2,-2,-2,-2,-2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	79,89	97,111	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	Sword made by western country. Light and fast	0
4	Serpentine Sword	w0004	10100001	01010004	02010004	0	0	0	0	1	0	0	0	6	1	1	1	1	1	1	1	26123	1,-2,-2,-2	40	9,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2	0	0	9,6,-2,-2,-2,-2,-2,-2,-2,-2	-1,-2,-2,-2,-2,-2,-2,-2,-2,-2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	89,97	109,121	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0	0
5	Dazzling Sword	w0005	10100001	01010005	02010005	0	0	0	0	1	0	0	0	5	1	1	1	1	1	1	1	45219	1,-2,-2,-2	50	9,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2	0	0	9,6,-2,-2,-2,-2,-2,-2,-2,-2	-1,-2,-2,-2,-2,-2,-2,-2,-2,-2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,13	0,13	0,13	0,13	0,13	0,0	0,0	0,0	102,118	126,146	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0	0
6	Wyrm Sword	w0006	10100001	01010006	02010006	0	0	0	0	1	0	0	0	4	1	1	1	1	1	1	1	70938	1,-2,-2,-2	60	9,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2	0	0	9,6,-2,-2,-2,-2,-2,-2,-2,-2	-1,-2,-2,-2,-2,-2,-2,-2,-2,-2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,15	0,15	0,15	0,15	0,15	0,0	0,0	0,0	118,134	146,166	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0	0
7	Sacro Sword	w0007	10100001	01010007	02010007	0	0	0	0	1	0	0	0	4	1	1	1	1	1	1	1	103915	1,-2,-2,-2	70	9,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2	0	0	9,6,-2,-2,-2,-2,-2,-2,-2,-2	-1,-2,-2,-2,-2,-2,-2,-2,-2,-2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,17	0,17	0,17	0,17	0,17	0,0	0,0	0,0	134,148	164,182	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0	0
8	Newbie Knife	w0092	10100001	01010008	02010008	03010008	04010008	0	0	1	0	0	0	0	0	1	1	1	1	1	1	27	-1,-2,-2,-2	1	-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2	0	0	9,-2,-2,-2,-2,-2,-2,-2,-2,-2	9,6,-2,-2,-2,-2,-2,-2,-2,-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	14,14	18,18	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0	0
9	Newbie Sword	w0092	10100001	01010008	02010008	03010008	04010008	0	0	1	0	0	0	0	0	1	1	1	1	1	1	100	-1,-2,-2,-2	7	-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2	0	0	9,-2,-2,-2,-2,-2,-2,-2,-2,-2	9,6,-2,-2,-2,-2,-2,-2,-2,-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	29,30	33,38	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0	0
10	Short Metal Sword	w0260	10100001	01010009	02010009	0	0	0	0	1	0	0	0	7	1	1	1	1	1	1	1	2403	2,1,-2,-2	15	1,8,9,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2	0	0	9,6,-2,-2,-2,-2,-2,-2,-2,-2	-1,-2,-2,-2,-2,-2,-2,-2,-2,-2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	44,68	54,86	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0	0
