// 场景物件类型表												
// 类型目前共有7种												
//SCENEOBJ_TYPE_NORMAL      = 0   普通物体												
//SCENEOBJ_TYPE_POSE              = 1  场景互动动作物体												
//SCENEOBJ_TYPE_TERRAIN       = 2  地形障碍标记物体												
//SCENEOBJ_TYPE_POINTLIGHT = 3  点光源												
//SCENEOBJ_TYPE_ENVLIGHT     =  4  环境光源												
//SCENEOBJ_TYPE_FOG                =  5  发雾器												
//SCENEOBJ_TYPE_ENVSOUND   = 6  Surround Sound Effect												
//平行光照 : 是否受平行光的影响												
//点光照     : 是否受点光源影响												
// Style: 编辑器里美术风格分类												
//ID	模型文件名	中文名称	类型	类型参数1	类型参数2	Special Parameter	平行光影响	点光源影响	风格	Sign	背景色开关	受地表阴影印象
1	by-bd001.lmo	白银宫殿01	0	0	0	0	1	0	1	0	1	0
2	by-bd002.lmo	白银海军事务所01	0	0	0	0	1	0	1	0	1	0
3	by-bd003.lmo	白银银行总部01	0	0	0	0	1	0	1	0	1	0
4	by-bd004.lmo	白银商会总部01	0	0	0	0	1	0	1	0	1	0
5	by-bd005.lmo	白银铁匠铺01	0	0	0	0	1	1	1	0	1	1
6	nml-bd141.lmo	Whirlpool 01	0	0	0	0	0	0	9	0	1	0
7	by-bd007.lmo	白银贸易所01	0	0	0	0	1	0	1	0	1	0
8	by-bd008.lmo	白银造船厂01	0	0	0	0	1	0	1	0	1	0
9	by-bd009.lmo	白银深蓝旅店01	0	0	0	0	1	0	1	0	1	0
10	by-bd010.lmo	白银酒馆01	0	0	0	0	0	0	1	0	1	0
11	by-bd011.lmo	白银大教堂01	0	0	0	0	1	0	1	0	1	0
12	nml-bd150.lmo	残破的桥01	0	0	0	0	1	0	9	0	1	1
13	by-bd013.lmo	白银灯塔01	0	0	0	0	0	0	1	0	1	0
14	by-bd014-1.lmo	白银码头短堤01	0	0	0	0	1	0	1	0	1	0
15	by-bd014-2.lmo	白银码头长堤01	0	0	0	0	1	0	1	0	1	0
16	by-bd014-3.lmo	白银码头拐角01	0	0	0	0	1	0	1	0	1	0
17	by-bd014-4.lmo	白银码头拐角02	0	0	0	0	1	0	1	0	1	0
18	by-bd014-5.lmo	白银码头堤洞01	0	0	0	0	1	0	1	0	1	0
19	by-bd014-6.lmo	白银码头路Lamp 01	0	0	0	0	1	0	1	0	1	0
20	by-bd014-7.lmo	白银码头炮台01	0	0	0	0	1	0	1	0	1	0
21	by-bd014-8.lmo	白银码头起重机01	0	0	0	0	1	0	1	0	1	0
22	by-bd015.lmo	白银中央钟楼01	0	0	0	0	0	0	1	0	1	0
23	by-bd016.lmo	白银民居01	0	0	0	0	1	1	1	0	1	0
24	by-bd017.lmo	白银民居02	0	0	0	0	1	0	1	0	1	0
25	by-bd018.lmo	白银禁卫小屋01	0	0	0	0	1	0	1	0	1	0
26	nml-bd151.lmo	火山01	0	0	0	0	0	0	9	0	1	1
27	by-bd020.lmo	白银仓库01	0	0	0	0	1	0	1	0	1	0
28	nml-bd152.lmo	水中怪石01	0	0	0	0	1	0	9	0	1	1
29	by-bd022.lmo	白银水车01	0	0	0	0	1	0	1	0	1	0
30	by-bd023.lmo	白银码头大台阶01	0	0	0	0	1	0	1	0	1	0
31	by-bd024.lmo	白银码头大台阶02	0	0	0	0	1	0	1	0	1	0
32	by-bd025.lmo	白银码头小台阶01	0	0	0	0	1	0	1	0	1	0
33	by-bd026.lmo	白银码头中台阶01	0	0	0	0	1	0	1	0	1	0
34	by-bd027.lmo	白银教堂钟楼01	0	0	0	0	1	0	1	0	1	0
35	nml-bd153.lmo	水中雕像01	0	0	0	0	1	0	9	0	1	1
36	by-bd036.lmo	白银之城路Lamp 01	0	0	0	0	1	0	1	0	1	0
37	by-bd037.lmo	白银之城栅栏01	0	0	0	0	1	0	1	0	1	0
38	by-bd038.lmo	白银之城墙门柱01	0	0	0	0	1	0	1	0	1	0
39	by-bd039.lmo	白银之城围墙01	0	0	0	0	1	0	1	0	1	0
40	by-bd040.lmo	白银之城城门01	0	0	0	0	1	0	1	0	1	0
41	lt-bd038.lmo	雷霆港船木桥01	0	0	0	0	1	0	2	0	1	0
42	lt-bd002.lmo	Thundoria Navy HQ 01	0	0	0	0	1	0	2	0	1	0
43	lt-bd001-01.lmo	Thundoria Palace 01	0	0	0	0	1	0	2	0	1	0
44	lt-bd001-02.lmo	Thundoria Palace 02	0	0	0	0	1	0	2	0	1	0
45	lt-bd005.lmo	Thundoria Blacksmith Shop 01	0	0	0	0	1	0	2	0	1	0
46	sl-bd038.lmo	沙岚旧城门墙01	0	0	0	0	1	0	3	0	1	1
47	lt-bd007.lmo	Thundoria Bank 01	0	0	0	0	1	0	2	0	1	0
48	sl-bd039.lmo	沙岚旧城门墙02	0	0	0	0	1	0	3	0	1	1
49	lt-bd009.lmo	雷霆堡飞空艇库01	0	0	0	0	1	0	2	0	1	0
50	lt-bd011.lmo	雷霆堡雕像01	0	0	0	0	1	0	2	0	1	0
51	lt-bd012.lmo	雷霆堡纪念牌01	0	0	0	0	1	0	2	0	1	0
52	lt-bd018-11.lmo	雷霆堡城墙02右	0	0	0	0	1	0	2	0	1	0
53	lt-bd036-03.lmo	雷霆港船头主体03	0	0	0	0	1	0	2	0	1	0
54	lt-bd014.lmo	雷霆堡民居01	0	0	0	0	1	0	2	0	1	0
55	lt-bd015.lmo	雷霆堡民居02	0	0	0	0	1	0	2	0	1	0
56	lt-bd016.lmo	雷霆堡民居03	0	0	0	0	1	0	2	0	1	0
57	lt-bd017.lmo	雷霆堡停机坪01	0	0	0	0	1	0	2	0	1	0
58	lt-bd018-01.lmo	Thundoria Castle Gate 01	0	0	0	0	1	0	2	0	1	0
59	lt-bd018-02.lmo	雷霆堡城墙02	0	0	0	0	1	0	2	0	1	0
60	lt-bd018-03.lmo	雷霆堡城墙03	0	0	0	0	1	0	2	0	1	0
61	lt-bd018-04.lmo	雷霆堡城墙04	0	0	0	0	1	0	2	0	1	0
62	lt-bd018-05.lmo	雷霆堡城墙05	0	0	0	0	1	0	2	0	1	0
63	lt-bd018-06.lmo	雷霆堡城墙06	0	0	0	0	1	0	2	0	1	0
64	lt-bd018-07.lmo	雷霆堡城墙07	0	0	0	0	1	0	2	0	1	0
65	lt-bd018-08.lmo	雷霆堡城墙08	0	0	0	0	1	0	2	0	1	0
66	lt-bd019.lmo	雷霆堡3米台阶01	0	0	0	0	1	0	2	0	1	1
67	lt-bd020.lmo	雷霆堡6米台阶01	0	0	0	0	1	0	2	0	1	1
68	lt-bd021.lmo	雷霆堡路Lamp 01	0	0	0	0	1	0	2	0	1	0
69	lt-bd022.lmo	雷霆堡水池01	0	0	0	0	0	0	2	0	1	0
70	lt-bd024.lmo	雷霆堡铁门01	0	0	0	0	1	0	2	0	1	0
71	lt-bd025-01.lmo	Camp 01	0	0	0	0	1	0	2	0	1	0
72	lt-bd025-02.lmo	Camp 02	0	0	0	0	1	0	2	0	1	0
73	lt-bd025-03.lmo	Camp 03	0	0	0	0	1	0	2	0	1	0
74	lt-bd025-04.lmo	Camp 04	0	0	0	0	1	0	2	0	1	0
75	lt-bd025-05.lmo	Camp 05	0	0	0	0	1	0	2	0	1	0
76	lt-bd025-06.lmo	Camp 06	0	0	0	0	1	0	2	0	1	0
77	lt-bd025-07.lmo	Camp 07	0	0	0	0	1	0	2	0	1	0
78	lt-bd025-08.lmo	Camp 08	0	0	0	0	1	0	2	0	1	0
79	lt-bd013-01.lmo	Thundoria Navy Harbor 01	0	0	0	0	1	0	2	0	1	1
80	lt-bd013-02.lmo	Thundoria Navy Harbor 02	0	0	0	0	1	0	2	0	1	1
81	lt-bd013-03.lmo	Thundoria Navy Harbor 03	0	0	0	0	1	0	2	0	1	1
82	lt-bd013-04.lmo	Thundoria Navy Harbor 04	0	0	0	0	1	0	2	0	1	1
83	lt-bd025-09.lmo	兵营账棚01	0	0	0	0	1	0	2	0	1	0
84	lt-bd026.lmo	Cannon 01	0	0	0	0	1	0	2	0	1	0
85	lt-bd018-09.lmo	雷霆堡城墙大门02	0	0	0	0	1	0	2	0	1	0
86	lt-bd018-10.lmo	雷霆堡城墙大门03	0	0	0	0	1	0	2	0	1	0
87	lt-bd027.lmo	Cannon 02	0	0	0	0	1	0	2	0	1	0
88	lt-bd028.lmo	雷霆旅馆01	0	0	0	0	1	0	2	0	1	0
89	lt-bd029.lmo	雷霆箭塔01	0	0	0	0	1	0	2	0	1	0
90	lt-bd030.lmo	Lone Tower 01	0	0	0	0	1	1	7	0	1	1
91	lt-bd031.lmo	雷霆堡桌子01	0	0	0	0	1	0	2	0	1	0
92	lt-bd032.lmo	雷霆堡椅子01	0	0	0	0	1	0	2	0	1	0
93	lt-bd033.lmo	雷霆堡军港船身01	0	0	0	0	1	0	2	0	1	0
94	lt-bd034.lmo	雷霆堡军港船尾01	0	0	0	0	1	0	2	0	1	0
95	lt-bd035.lmo	雷霆堡军港船头01	0	0	0	0	1	0	2	0	1	0
96	lt-bd036-01.lmo	雷霆港船头主体01	0	0	0	0	1	0	2	0	1	0
97	lt-bd036-02.lmo	雷霆港船头主体02	0	0	0	0	1	0	2	0	1	0
98	lt-bd037.lmo	雷霆港船铁丝网01	0	0	0	0	1	0	2	0	1	0
99	nml-bd138.lmo	飘动枫叶01	0	0	0	0	1	1	8	0	1	0
100	nml-bd139.lmo	Fence 01	0	0	0	0	1	1	9	0	1	1
101	nml-bd140.lmo	雪隔栏01	0	0	0	0	1	1	9	0	1	1
102	sl-bd001.lmo	新卡拉神殿01	0	0	0	0	1	0	3	0	1	0
103	sl-bd005.lmo	沙岚银行01	0	0	0	0	1	0	3	0	1	0
104	sl-bd008.lmo	沙岚杂货商店01	0	0	0	0	1	0	3	0	1	0
105	sl-bd009.lmo	Shaitan Bar 01	0	0	0	0	1	0	3	0	1	0
106	sl-bd012.lmo	沙岚铁匠铺01	0	0	0	0	1	0	3	0	1	0
107	sl-bd006.lmo	沙岚沙蟹驯站01	0	0	0	0	1	0	3	0	1	0
108	sl-bd010.lmo	沙岚贸易站01	0	0	0	0	1	0	3	0	1	0
109	sl-bd007.lmo	沙岚旅店01	0	0	0	0	1	0	3	0	1	0
110	sl-bd003.lmo	沙岚商会事务所01	0	0	0	0	1	0	3	0	1	0
111	sl-bd004.lmo	Shaitan Navy Office 01	0	0	0	0	1	0	3	0	1	0
112	sl-bd013.lmo	沙岚灯塔01	0	0	0	0	1	0	3	0	1	0
113	sl-bd026-01.lmo	沙岚高架水渠01	0	0	0	0	0	0	3	0	1	0
114	sl-bd026-02.lmo	沙岚高架水渠02	0	0	0	0	0	0	3	0	1	0
115	sl-bd026-03.lmo	沙岚高架水渠03	0	0	0	0	0	0	3	0	1	0
116	sl-bd026-04.lmo	沙岚高架水渠04	0	0	0	0	0	0	3	0	1	0
117	sl-bd026-05.lmo	沙岚高架水渠05	0	0	0	0	0	0	3	0	1	0
118	sl-bd026-06.lmo	沙岚高架水渠06	0	0	0	0	0	0	3	0	1	0
119	sl-bd026-07.lmo	沙岚高架水渠07	0	0	0	0	0	0	3	0	1	0
120	sl-bd026-08.lmo	沙岚高架水渠08	0	0	0	0	0	0	3	0	1	0
121	sl-bd015.lmo	沙岚水车01	0	0	0	0	0	0	3	0	1	0
122	sl-bd019.lmo	沙岚普通民房01	0	0	0	0	1	0	3	0	1	0
123	sl-bd020.lmo	沙岚豪宅01	0	0	0	0	1	0	3	0	1	0
124	sl-bd025.lmo	沙岚水果车01	0	0	0	0	1	0	3	0	1	0
125	sl-bd011.lmo	沙岚炽炎之塔01	0	0	0	0	1	0	3	0	1	0
126	sl-bd021.lmo	沙岚账篷01	0	0	0	0	1	0	3	0	1	1
127	sl-bd032-01.lmo	沙岚压边01	0	0	0	0	1	0	3	0	1	0
128	sl-bd032-02.lmo	沙岚压边02	0	0	0	0	1	0	3	0	1	0
129	sl-bd032-03.lmo	沙岚压边03	0	0	0	0	1	0	3	0	1	0
130	sl-bd014-01.lmo	沙岚码头01	0	0	0	0	1	0	3	0	1	0
131	sl-bd014-02.lmo	沙岚码头02	0	0	0	0	1	0	3	0	1	0
132	sl-bd014-03.lmo	沙岚码头03	0	0	0	0	1	0	3	0	1	0
