//ID	Name	Model	Propeller 1	Propeller 2	Propeller 3	Propeller 4	Price	Ship Durability Constant	Ship durability recovery constant	Ship defense constant	Ship Resist Constant	Ship Min Attack constant	Average ship maximum attack	Attack range constant	Reloading time constant	Average Cannon Splash Area	Cargo Capacity Constant	Ship fuel constant	Ship fuel consumption constant	Cannon flight speed constant	Ship movement speed constant	Description (Item level)	Remark
0001	Titanic Hull	2000000000	0	0	0	0	31237	4286	0	78	20	0	0	0	0	0	0	200	2	0	0	0	0
0002	Silver Dolphin	2000010000	0	0	0	0	46200	5000	0	89	20	0	0	0	0	0	0	200	3	0	0	0	0
0003	Great White Shark	2000020000	0	0	0	0	65362	5731	0	100	20	0	0	0	0	0	0	200	3	0	0	0	0
0004	Frock Hull	2001000000	0	0	0	0	31237	6082	0	127	25	0	0	0	0	0	0	200	2	0	0	0	0
0005	Goddess	2001010000	0	0	0	0	46200	7441	0	155	25	0	0	0	0	0	0	200	3	0	0	0	0
0006	Titanium Hull	2002000000	0	0	0	0	65362	8945	0	183	25	0	0	0	0	0	0	200	3	0	0	0	0
0007	Ark	2003000000	0	0	0	0	0	1000	0	20	20	0	0	0	0	0	0	200	2	0	0	0	0
0008	Normal Bow	0	0	0	0	0	720	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0
0009	Hard Bow	0	0	0	0	0	939	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0
0010	Special Bow	0	0	0	0	0	1201	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0
0011	Sharp Bow	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0
0012	Long Bow	0	0	0	0	0	1682	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0
0013	Colliding Bow	0	0	0	0	0	2067	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0
0014	Collision Bow	0	0	0	0	0	2280	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0
0015	Semi Auto Oar	0	0	0	0	0	900	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0
0016	Boiler Engine	0	0	0	0	0	1331	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0
0017	Steam Dual Pontoon	0	0	0	0	0	1687	0	0	0	0	0	0	0	0	0	0	0	0	0	470	0	0
0018	Steam Buoy	0	0	0	0	0	2335	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0
0019	Bio Thrash 80	0	0	0	0	0	2850	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0
0020	Bio Thrash 90	0	0	0	0	0	3758	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0
0021	Turbo Propeller	2000000002	0022	0	0	0	4462	0	0	0	0	0	0	0	0	0	0	0	0	0	530	0	0
0022	Demon Propeller 01	2000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0023	Silver Propeller 01	2000010004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0024	Silver Propeller 02	2000010005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0025	Silver Propeller 03	2000010006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0026	Silver Propeller 04	2000010007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0027	White Shark Propeller 01	2000020004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0028	White Shark Propeller 02	2000020005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0029	Torrent Propeller 01	2001000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0030	Torrent Propeller 02	2001000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0031	Torrent Propeller 03	2001000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0032	Goddess Propeller 01	2001010004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0033	Goddess Propeller 02	2001010005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0034	Goddess Propeller 03	2001010006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0035	Goddess Propeller 04	2001010007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0036	Swordfish Propeller 01	2002000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0037	Swordfish Propeller 02	2002000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0038	Swordfish Propeller 03	2002000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0039	Swordfish Propeller 04	2002000007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0040	Ark Propeller 01	2003000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0041	Ark Propeller 02	2003000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0042	Ark Propeller 03	2003000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0043	Wooden Tattoo Hull	2004000000	0	0	0	0	6300	2280	0	46	10	0	0	0	0	0	0	200	1	0	0	0	0
0044	Steel Structure Hull	2004020000	0	0	0	0	11812	2925	0	57	15	0	0	0	0	0	0	200	1	0	0	0	0
0045	Bio Flying Fish Hull	2004010000	0	0	0	0	19950	3595	0	68	20	0	0	0	0	0	0	200	1	0	0	0	0
0046	Back Pontoon	2004030000	0	0	0	0	6300	2795	0	62	15	0	0	0	0	0	0	200	1	0	0	0	0
0047	Dual Pontoon	2004050000	0	0	0	0	11812	3766	0	82	20	0	0	0	0	0	0	200	1	0	0	0	0
0048	Bio Swordfish Hull	2004040000	0	0	0	0	19950	4860	0	88	25	0	0	0	0	0	0	200	1	0	0	0	0
0049	Low level boat 7	2004060000	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0
0050	Boat 8	2004070000	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0
0051	Boat 9	2004080000	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0
0052	Boat 10	2004090000	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0
0053	OSM Swift Cannon	0	0	0	0	0	1080	0	0	0	0	167	250	0	70	0	0	0	0	0	0	0	0
0054	OSM 350mm Cannon	0	0	0	0	0	1237	0	0	0	0	185	278	0	73	0	0	0	0	0	0	0	0
0055	OSM 406mm Cannon	0	0	0	0	0	1598	0	0	0	0	204	307	0	79	0	0	0	0	0	0	0	0
0056	OSM 500mm Galley Cannon	0	0	0	0	0	2025	0	0	0	0	215	322	0	85	0	0	0	0	0	0	0	0
0057	OSM 800mm Cannon	0	0	0	0	0	2265	0	0	0	0	235	352	0	88	0	0	0	0	0	0	0	0
0058	OSM Titan Cannon	0	0	0	0	0	2802	0	0	0	0	255	383	0	94	0	0	0	0	0	0	0	0
0059	OSM Thunder Cannon	0	0	0	0	0	3420	0	0	0	0	265	398	0	100	0	0	0	0	0	0	0	0
0060	OSM Penetrating Cannon	0	0	0	0	0	3760	0	0	0	0	287	430	0	103	0	0	0	0	0	0	0	0
0061	OSM Dual Cannon	0	0	0	0	0	4510	0	0	0	0	307	461	0	109	0	0	0	0	0	0	0	0
0062	OSM Penetrating Cannon	0	0	0	0	0	5355	0	0	0	0	318	477	0	115	0	0	0	0	0	0	0	0
0063	Cannon 11	0	0	0	0	0	5814	0	0	0	0	340	511	0	118	0	0	0	0	0	0	0	0
0064	Cannon 12	0	0	0	0	0	6812	0	0	0	0	362	543	0	124	0	0	0	0	0	0	0	0
0065	Cannon 13	0	0	0	0	0	7920	0	0	0	0	373	560	0	130	0	0	0	0	0	0	0	0
0066	Cannon 14	0	0	0	0	0	8516	0	0	0	0	396	594	0	100	0	0	0	0	0	0	0	0
0067	Cannon 15	0	0	0	0	0	9798	0	0	0	0	419	629	0	139	0	0	0	0	0	0	0	0
0068	Cannon 16	0	0	0	0	0	11205	0	0	0	0	430	646	0	145	0	0	0	0	0	0	0	0
0069	Cannon 17	0	0	0	0	0	11956	0	0	0	0	455	682	0	148	0	0	0	0	0	0	0	0
0070	Cannon 18	0	0	0	0	0	13559	0	0	0	0	478	717	0	154	0	0	0	0	0	0	0	0
0071	OSM Quad Cannon	0	0	0	0	0	1080	0	0	0	0	138	207	0	70	0	0	0	0	0	0	0	0
0072	OSM Piercing Cannon	0	0	0	0	0	1237	0	0	0	0	151	227	0	73	0	0	0	0	0	0	0	0
0073	Fishing Net	0	0	0	0	0	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0074	Mechanical Arm	0	0	0	0	0	1134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0075	Light Armor	0	0	0	0	0	1292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0076	Composite Armor	0	0	0	0	0	1464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0077	Component 5	0	0	0	0	0	1652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0078	Component 6	0	0	0	0	0	1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0079	Component 7	0	0	0	0	0	2076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0080	Component 8	0	0	0	0	0	2313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0081	Component 9	0	0	0	0	0	2568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0082	Component 10	0	0	0	0	0	2842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0083	Component 11	0	0	0	0	0	3135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0084	Component 12	0	0	0	0	0	3447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0085	Component 13	0	0	0	0	0	3780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0086	Component 14	0	0	0	0	0	4134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0087	Component 15	0	0	0	0	0	4510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0088	Component 16	0	0	0	0	0	4908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0089	Component 17	0	0	0	0	0	5330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0090	Component 18	0	0	0	0	0	5775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0091	Component 19	0	0	0	0	0	6244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0092	Component 20	0	0	0	0	0	6739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0093	Low level boat 1 Fore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0094	Low level boat 2 Fore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0095	Low level boat 3 Fore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0096	Low level boat 4 Fore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0097	Bow of Boat 5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0098	Bow of Boat 6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0099	Bow of Boat 7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0100	Boat 8 Fore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0101	Boat 9 Fore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0102	Boat 10 Fore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0103	Low level boat 1 mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
