//编号	小图标	起始坐标X	起始坐标Y   	离线图标	起始坐标X	起始坐标Y   	大图标   	起始坐标X	起始坐标Y    	提示
1	1x.tga	0	0	1xh.tga	0	0	1.tga	0	0	0
2	2x.tga	0	0	2xh.tga	0	0	2.tga	0	0	0
3	3x.tga	0	0	3xh.tga	0	0	3.tga	0	0	0
4	4x.tga	0	0	4xh.tga	0	0	4.tga	0	0	0
5	5x.tga	0	0	5xh.tga	0	0	5.tga	0	0	0
6	6x.tga	0	0	6xh.tga	0	0	6.tga	0	0	0
7	7x.tga	0	0	7xh.tga	0	0	7.tga	0	0	0
8	8x.tga	0	0	8xh.tga	0	0	8.tga	0	0	0
9	9x.tga	0	0	9xh.tga	0	0	9.tga	0	0	0
10	10x.tga	0	0	10xh.tga	0	0	10.tga	0	0	0
11	11x.tga	0	0	11xh.tga	0	0	11.tga	0	0	0
12	12x.tga	0	0	12xh.tga	0	0	12.tga	0	0	0
13	13x.tga	0	0	13xh.tga	0	0	13.tga	0	0	0
14	14x.tga	0	0	14xh.tga	0	0	14.tga	0	0	0
15	15x.tga	0	0	15xh.tga	0	0	15.tga	0	0	0
16	16x.tga	0	0	16xh.tga	0	0	16.tga	0	0	0
17	17x.tga	0	0	17xh.tga	0	0	17.tga	0	0	0
18	18x.tga	0	0	18xh.tga	0	0	18.tga	0	0	0
19	19x.tga	0	0	19xh.tga	0	0	19.tga	0	0	0
20	20x.tga	0	0	20xh.tga	0	0	20.tga	0	0	0
21	21x.tga	0	0	21xh.tga	0	0	21.tga	0	0	0
22	22x.tga	0	0	22xh.tga	0	0	22.tga	0	0	0
23	23x.tga	0	0	23xh.tga	0	0	23.tga	0	0	0
24	24x.tga	0	0	24xh.tga	0	0	24.tga	0	0	0
