//等级	失败等级	成功率	需求1	需求2	需求3	需求4	需求5	需求6	需求金钱
1	1	100	1779,1	0,0	0,0	0,0	0,0	0,0	50000
2	2	100	1779,1	0,0	0,0	0,0	0,0	0,0	50000
3	3	100	1779,1	0,0	0,0	0,0	0,0	0,0	50000
4	4	85	1779,2	1774,1	0,0	0,0	0,0	0,0	50000
5	5	75	1779,2	1774,1	0,0	0,0	0,0	0,0	50000
6	6	65	1779,2	1774,1	0,0	0,0	0,0	0,0	50000
7	7	50	1779,2	1774,1	0,0	0,0	0,0	0,0	50000
8	7	45	1779,3	1774,2	1804,1	0,0	0,0	0,0	50000
9	8	40	1779,3	1774,2	1804,1	0,0	0,0	0,0	50000
10	9	35	1779,3	1774,2	1804,1	0,0	0,0	0,0	50000
11	10	33	1779,3	1774,2	1804,1	0,0	0,0	0,0	50000
12	0	30	1779,4	1774,3	1804,2	1775,1	0,0	0,0	50000
