//ID	Lv	Required Navigation EXP
1	1	0
2	2	625
3	3	1296
4	4	2401
5	5	4096
6	6	6561
7	7	10000
8	8	14641
9	9	20736
10	10	28561
11	11	38416
12	12	50625
13	13	65536
14	14	83521
15	15	104976
16	16	130321
17	17	160000
18	18	194481
19	19	234256
20	20	279841
21	21	331776
22	22	390625
23	23	456976
24	24	531441
25	25	614656
26	26	707281
27	27	810000
28	28	923521
29	29	1048576
30	30	1185921
31	31	1336336
32	32	1500625
33	33	1679616
34	34	1874161
35	35	2085136
36	36	2313441
37	37	2560000
38	38	2825761
39	39	3111696
40	40	3418801
41	41	3748096
42	42	4100625
43	43	4477456
44	44	4879681
45	45	5308416
46	46	5764801
47	47	6250000
48	48	6765201
49	49	7311616
50	50	7890481
51	51	8503056
