//编号	技能名称	标识是否是生活技能	职业	左手武器限制	右手武器限制	身体装备限制	贝壳使用检测	技能阶段	技能类型	有益/有害	学习等级	前置技能	技能点消耗	施放者形态	适用地点	释放距离	作用对象	攻击模式	角度	半径	技能区域形状	技能前期处理公式	技能添加地面状态公式	技能sp公式	耐久度消耗公式	冲值消耗公式	技能区域公式	施放阶段公式	效果阶段公式	正效果公式	反效果公式	绑定的可手动移除状态编号	自身参数	自身效果	消耗物品	持续时间	目标参数	溅射参数	目标持续效果	溅射持续效果	变身编号	召唤编号	释放时间	再施放时间	伤害表现	动作播放	动作	keyframe	攻击音效	人物dummy	人物特效	基准值	道具dummy	道具特效	道具特效2	飞行keyfram	人物dummy	道具dummy	飞行特效	飞行速度	受击音效	dummy	人物受击特效	特效时间点	地面受击特效	水面受击特效	ICON	技能播放次数	操作执行命令	说明	效果	消耗	备注																																		
0001	Windslash	1	1,10	1,1	1,1	1,-1	-1	2	1	0	-1	-1	1	1	1	400	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-10	0	0	0	hp=hp(1)-sklv(0)*30	0	0	0	0	0	0	1000	1	1	7	0	105	2	100	0	-1	0,0	0,0	-1	-1	-1	0	0	129	2	101	0	0	0	0	0	0	Attacks target with up to 300% bonus damage	0	0	0
0002	Searing Slash	1	1,10	1,0	1,2	1,-1	-1	3	1	0	-1	-1	1	1	1	800	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-15	0	0	0	hp=hp(1)-sklv(0)*25	0	1,sklv(0)*500	0	0	0	0	1500	1	1	11	0	106	2	100	0	0	102,0	0,0	-1	-1	-1	0	0	130	2	103	0	0	0	0	0	0	Adds fire damage to attack	0	0	0
0003	Illusion Slash	1	1,10	1,1	1,1	1,-1	-1	3	1	0	-1	-1	1	1	1	800	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-20	0	0	0	hp=hp(1)-sklv(0)*80	0	0	0	0	0	0	2000	2	1	11	-1	107	9	104	0	-1	0,0	0,0	0	9	-1	1010	1600	131	2	105	0	0	0	0	0	0	Attack target without them noticing	0	0	0
0004	Phoenix Slash	1	1,10	1,1	1,1	1,-1	-1	3	1	0	-1	-1	1	1	1	800	4	2	45	400	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-25	0	0	0	hp=hp(1)-sklv(0)*100	0	0	0	0	0	0	2000	2	1	11	-1	108	9	106	0	-1	0,0	0,0	0	9	-1	1011	800	132	2	107	0	0	0	0	0	0	Attack target with the powers of a Phoenix	0	0	0
0005	Fiery Arrow	1	2,10	1,3	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	1	1000	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-10	0	0	0	hp=hp(1)-sklv(0)*30	0	2,sklv(0)*1000	0	0	0	0	2000	2	1	7	-1	109	6	108	0	-1	0,0	0,0	0	9	-1	1012	1600	133	2	109	0	0	0	0	0	0	Imbues arrows with additional damage Fire damage	0	0	0
0006	Icy Arrow	1	2,10	1,3	1,-1	1,-1	-1	3	1	0	-1	-1	1	1	1	1000	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-20	0	0	0	hp=hp(1)-sklv(0)*25	0	3,sklv(0)*500	0	0	0	0	sklv(0)*600	2	1	7	-1	110	6	110	0	-1	0,0	0,0	0	9	-1	1013	1600	134	-1	111	0	0	0	0	0	0	Imbues arrows with ice. Able to freeze or slow target	0	0	0
0007	Shot Array	1	2,10	1,-1	1,4	1,-1	-1	3	1	0	-1	-1	1	1	1	1000	4	2	45	200	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-15	0	0	0	hp=hp(1)-sklv(0)*10	0	0	0	0	0	0	1000	2	1	7	-1	111	9	112	0	-1	0,0	0,0	0	-1	0	1014	2000	135	2	113	0	0	0	0	0	0	Fire multiple arrows, attack radius increases with each level	0	0	0
0008	Fissure Shot	1	2,10	1,-1	1,4	1,-1	-1	3	1	0	-1	-1	1	1	1	1000	4	3	360	150	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-30	0	0	0	hp=hp(1)-sklv(0)*40	hp=hp-sklv(0)*20	0	0	0	0	0	3000	2	1	7	-1	112	9	114	0	-1	0,0	0,0	0	-1	0	1015	1600	136	2	115	0	0	0	0	0	0	Damage all targets surrounding target within radius	0	0	0
0009	Flare Shield	1	3,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	2	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-20	0	0	0	0	0	0	0	0	0	0	5000	1	1	1	-1	113	1	135	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	116	0	0	0	0	0	0	Fire protective flares to reduce damage done to ship body	0	0	0
0010	Great Cannonball	1	3,10	1,-1	1,-1	1,-1	-1	3	1	0	-1	-1	1	1	3	1500	4	2	360	500	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-30	0	0	0	hp=hp(1)-sklv(0)*500	0	0	0	0	0	0	1000	2	1	1	-1	114	2	117	0	-1	0,0	0,0	-1	2	-1	1016	1200	138	-1	0	0	136	0	0	0	0	Fragments will deal damage to targets within range	0	0	0
